id,card_number,language,series_id,name,card_type,rarity,colors,cost,life,power,counter,attribute,traits,effect_text,trigger_text,source_info,block_icon
2303,EB01-009,en,56,Just Shut Up and Come with Us!!!!,EVENT,C,赤,1,,,,,Drum Kingdom/Straw Hat Crew,"[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2304,EB01-012,en,56,Cavendish,CHARACTER,SR,緑,5,,6000,1000,Slash,Supernovas/Beautiful Pirates,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2305,EB01-015,en,56,Scratchmen Apoo,CHARACTER,R,緑,1,,1000,2000,Special,Supernovas/On-Air Pirates,[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2306,EB01-018,en,56,Mountain God,CHARACTER,C,緑,5,,7000,1000,Strike,Animal/Land of Wano,,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2307,EB01-038,en,56,Oh Come My Way,EVENT,C,紫,1,,,,,Baroque Works,"[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", select 1 of your Characters. Change the attack target to the selected Character.",[Trigger] DON!! −1: Draw 2 cards.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2308,EB01-046,en,56,Brook,CHARACTER,SR,黒,3,,4000,1000,Slash,Straw Hat Crew,"[On Play]/[When Attacking] Give up to 1 of your opponent's Characters −1 cost during this turn. Then, K.O. up to 1 of your opponent's Characters with a cost of 0.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2309,EB01-048,en,56,Laboon,CHARACTER,SR,黒,4,,5000,1000,Strike,Animal,[Activate: Main] You may rest this Character: Give up to 1 of your opponent's Characters −4 cost during this turn.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2310,EB01-051,en,56,Finger Pistol,EVENT,R,黒,4,,,,,CP9,[Main] You may trash 2 cards from the top of your deck: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,[Trigger] Activate this card's [Main] effect.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2311,EB01-057,en,56,Shirahoshi,CHARACTER,SR,黄,2,,,1000,Wisdom,Merfolk,"When this Character is K.O.'d by your opponent's effect, add up to 1 card from the top of your deck to the top of your Life cards.[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2312,EB01-060,en,56,Did Someone Say...Kami?,EVENT,C,黄,4,,,,,Sky Island,"[Main] Play up to 1 [Enel] with a cost of 7 or less from your hand or trash. Then, trash cards from the top of your Life cards until you have 1 Life card.",[Trigger] Draw 2 cards and trash 1 card from your hand.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2313,EB01-061,en,56,Mr.2.Bon.Kurei(Bentham),CHARACTER,SEC,紫,4,,1000,1000,Special,Former Baroque Works,[On Play] Add up to 1 DON!! card from your DON!! deck and set it as active.[When Attacking] Select up to 1 of your opponent's Characters. This Character's base power becomes the same as the selected Character's power during this turn.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2314,EB02-061,en,55,Monkey.D.Luffy,CHARACTER,SEC,紫,6,,7000,,Strike,Water Seven/Straw Hat Crew,"If your Leader is multicolored and your opponent has 5 or more DON!! cards on their field, this Character gains [Rush].[When Attacking] [Once Per Turn] You may return 2 of your active DON!! cards to your DON!! deck: Set this Character as active. Then, add 1 card from the top of your Life cards to your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2315,OP01-039,en,73,Killer,CHARACTER,UC,緑,2,,2000,1000,Slash,Supernovas/Kid Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x1] [On Block] If you have 3 or more Characters, draw 1 card.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2316,OP01-055,en,73,You Can Be My Samurai!!,EVENT,C,緑,1,,,,,Land of Wano/Kouzuki Clan,[Main] You may rest 2 of your Characters: Draw 2 cards.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
